name_vi,unit,calo_per_unit,protein_g,carb_g,fat_g,category,source
Phở bò,1 tô,450,25,55,12,Phở/Bún/Mì,Viện Dinh dưỡng Quốc gia
Phở gà,1 tô,400,24,50,10,Phở/Bún/Mì,Viện Dinh dưỡng Quốc gia
Phở tái,1 tô,420,26,52,11,Phở/Bún/Mì,Viện Dinh dưỡng Quốc gia
Phở chín,1 tô,410,24,52,10,Phở/Bún/Mì,Viện Dinh dưỡng Quốc gia
Bún bò Huế,1 tô,470,22,58,16,Phở/Bún/Mì,Viện Dinh dưỡng Quốc gia
Bún chả,1 phần,550,28,60,22,Phở/Bún/Mì,Viện Dinh dưỡng Quốc gia
Bún riêu,1 tô,400,20,50,13,Phở/Bún/Mì,Viện Dinh dưỡng Quốc gia
Bún thịt nướng,1 phần,500,26,55,18,Phở/Bún/Mì,Viện Dinh dưỡng Quốc gia
Bún cá,1 tô,420,24,52,12,Phở/Bún/Mì,Viện Dinh dưỡng Quốc gia
Bún mắm,1 tô,480,25,55,17,Phở/Bún/Mì,Viện Dinh dưỡng Quốc gia
Bún đậu mắm tôm,1 phần,520,22,50,26,Phở/Bún/Mì,Viện Dinh dưỡng Quốc gia
Hủ tiếu Nam Vang,1 tô,430,22,55,13,Phở/Bún/Mì,Viện Dinh dưỡng Quốc gia
Hủ tiếu khô,1 phần,450,20,58,14,Phở/Bún/Mì,Viện Dinh dưỡng Quốc gia
Mì Quảng,1 tô,480,24,55,18,Phở/Bún/Mì,Viện Dinh dưỡng Quốc gia
Mì xào giòn,1 phần,550,20,60,24,Phở/Bún/Mì,Viện Dinh dưỡng Quốc gia
Mì gói,1 gói,380,8,52,15,Phở/Bún/Mì,Viện Dinh dưỡng Quốc gia
Bánh canh cua,1 tô,420,20,52,15,Phở/Bún/Mì,Viện Dinh dưỡng Quốc gia
Bánh canh giò heo,1 tô,460,22,50,20,Phở/Bún/Mì,Viện Dinh dưỡng Quốc gia
Bún ốc,1 tô,380,16,48,14,Phở/Bún/Mì,Viện Dinh dưỡng Quốc gia
Cao lầu,1 tô,450,20,55,16,Phở/Bún/Mì,Viện Dinh dưỡng Quốc gia
Cơm trắng,1 chén,200,4,44,0.5,Cơm,Viện Dinh dưỡng Quốc gia
Cơm tấm sườn bì chả,1 phần,750,35,80,32,Cơm,Viện Dinh dưỡng Quốc gia
Cơm tấm sườn nướng,1 phần,650,32,75,25,Cơm,Viện Dinh dưỡng Quốc gia
Cơm gà xối mỡ,1 phần,700,30,70,32,Cơm,Viện Dinh dưỡng Quốc gia
Cơm gà Hải Nam,1 phần,600,28,68,22,Cơm,Viện Dinh dưỡng Quốc gia
Cơm chiên dương châu,1 phần,600,20,75,22,Cơm,Viện Dinh dưỡng Quốc gia
Cơm chiên trứng,1 phần,450,12,60,17,Cơm,Viện Dinh dưỡng Quốc gia
Cơm rang thập cẩm,1 phần,580,22,68,22,Cơm,Viện Dinh dưỡng Quốc gia
Cơm cháy,1 phần,350,6,55,12,Cơm,Viện Dinh dưỡng Quốc gia
Cơm âm phủ,1 phần,500,20,60,18,Cơm,Viện Dinh dưỡng Quốc gia
Cơm niêu,1 phần,550,25,65,18,Cơm,Viện Dinh dưỡng Quốc gia
Cơm cuộn,1 cuộn,300,10,45,8,Cơm,Viện Dinh dưỡng Quốc gia
Cơm lam,1 ống,220,5,45,2,Cơm,Viện Dinh dưỡng Quốc gia
Xôi mặn,1 phần,450,15,60,16,Xôi/Cháo,Viện Dinh dưỡng Quốc gia
Xôi gà,1 phần,500,22,62,18,Xôi/Cháo,Viện Dinh dưỡng Quốc gia
Xôi xéo,1 phần,420,10,65,12,Xôi/Cháo,Viện Dinh dưỡng Quốc gia
Xôi đậu xanh,1 phần,380,9,68,8,Xôi/Cháo,Viện Dinh dưỡng Quốc gia
Xôi đậu đen,1 phần,370,9,66,7,Xôi/Cháo,Viện Dinh dưỡng Quốc gia
Xôi lạc,1 phần,400,10,60,14,Xôi/Cháo,Viện Dinh dưỡng Quốc gia
Xôi gấc,1 phần,400,8,72,9,Xôi/Cháo,Viện Dinh dưỡng Quốc gia
Cháo trắng,1 tô,150,3,32,0.5,Xôi/Cháo,Viện Dinh dưỡng Quốc gia
